==================Summary==================
Number of Biclusters Generated : 36
Number of transactions : 10
Max memory : 2.4619903564453125 MB
Time taken : 24 ms
===========================================
"C1,C10","R1,R2,R6"
"C2,C10","R1,R2,R3,R8"
"C6,C10","R2,R3,R6,R8"
"C1,C2,C5,C7","R2,R9"
"C3,C4,C7,C9","R8,R10"
"C1,C2,C7","R1,R2,R9"
"C1,C3,C4","R6,R9"
"C1,C2,C3,C7","R1,R9"
"C1,C3,C10","R1,R6"
"C2,C5","R2,R3,R9"
"C2,C3,C4,C7,C8","R8,R9"
"C2,C6,C9,C10","R3,R8"
"C2,C5,C6,C10","R2,R3"
"C2,C6,C7,C10","R2,R8"
"C3,C8","R7,R8,R9"
"C1,C3","R1,R6,R9"
"C3,C4,C7","R8,R9,R10"
"C3,C7","R1,R8,R9,R10"
"C1,C2,C7,C10","R1,R2"
"C2,C7,C10","R1,R2,R8"
"C2,C3,C6,C9","R4,R8"
"C1,C6,C10","R2,R6"
"C3,C4,C6,C10","R6,R8"
"C2,C6","R2,R3,R4,R8"
"C3,C8,C10","R7,R8"
"C3,C9","R4,R8,R10"
"C3,C6","R4,R6,R8"
"C3,C10","R1,R6,R7,R8"
"C2,C7","R1,R2,R8,R9"
"C2,C3","R1,R4,R5,R8,R9"
"C2,C3,C7","R1,R8,R9"
"C2,C6,C9","R3,R4,R8"
"C2,C3,C4","R5,R8,R9"
"C2,C6,C10","R2,R3,R8"
"C2,C3,C7,C10","R1,R8"
"C3,C4","R5,R6,R8,R9,R10"
