==================Summary==================
Generated rules from the biclusters : 13
===========================================
Antecedent,Consequent,Support,Confidence,Object List
"[C3, C7]",C4,4,0.75,"[R10, R8, R9, R1]"
"[C10, C2]",C6,4,0.75,"[R2, R3, R8, R1]"
"[C10, C2]",C7,4,0.75,"[R2, R3, R8, R1]"
"[C3, C7]",C2,4,0.75,"[R10, R8, R9, R1]"
"[C1]",C3,4,0.75,"[R2, R6, R9, R1]"
"[C1]",C10,4,0.75,"[R2, R6, R9, R1]"
"[C6, C2]",C9,4,0.75,"[R2, R3, R4, R8]"
"[C6, C10]",C2,4,0.75,"[R2, R3, R6, R8]"
"[C7, C2]",C1,4,0.75,"[R2, R8, R9, R1]"
"[C6, C2]",C10,4,0.75,"[R2, R3, R4, R8]"
"[C9]",C3,4,0.75,"[R10, R3, R4, R8]"
"[C7, C2]",C10,4,0.75,"[R2, R8, R9, R1]"
"[C7, C2]",C3,4,0.75,"[R2, R8, R9, R1]"
